,Unnamed: 0,no,xmin,ymax,xmax,ymin,length,height,center_x,center_y,frame,second,frame_sec,second_acc,confidenceI
0,586,587,0,335.276,60.027,236,60,99,30.1849245,285.586,73,2,23,2.92,0.793163
1,587,588,0,317.801,63.2657,232,63,86,31.63285,274.934,74,2,24,2.96,0.953554
2,588,589,6,313.135,68.7093,226,63,88,37.188225,269.3355,75,3,0,3.0,0.934879
3,589,590,11,308.732,73.6455,220,63,89,42.23795,264.3165,76,3,1,3.04,0.761141
4,590,591,76,248.581,143.44,168,67,81,109.8868,208.138,88,3,13,3.52,0.991116
5,591,592,80,244.408,149.129,162,69,83,114.7132,203.017,89,3,14,3.56,0.991954
6,592,593,85,243.108,153.092,158,68,85,119.0698,200.7185,90,3,15,3.6,0.994308
7,593,594,88,239.215,155.686,154,68,85,121.90895,196.724,91,3,16,3.64,0.987069
8,594,595,91,234.851,161.158,155,70,80,125.95545,194.9345,92,3,17,3.68,0.964338
9,595,596,97,233.056,163.196,152,66,81,130.02545,192.492,93,3,18,3.72,0.986009
10,596,597,102,230.917,166.85,147,65,83,134.247,189.185,94,3,19,3.76,0.990256
11,597,598,106,229.48,169.833,150,64,80,137.835,189.597,95,3,20,3.8,0.990528
12,598,599,109,225.406,173.279,144,65,82,140.949,184.503,96,3,21,3.84,0.983139
13,599,600,112,223.571,177.155,139,65,84,144.573,181.323,97,3,22,3.88,0.956168
14,600,601,114,217.371,181.052,138,67,79,147.3435,177.76,98,3,23,3.92,0.9167
15,601,602,116,215.931,183.423,135,67,80,149.8025,175.7075,99,3,24,3.96,0.958235
16,602,603,122,210.976,186.501,135,65,76,154.2325,172.7935,100,4,0,4.0,0.987966
17,603,604,125,208.721,189.754,132,64,76,157.542,170.538,101,4,1,4.04,0.991885
18,604,605,129,203.843,192.193,128,63,76,160.5255,165.984,102,4,2,4.08,0.991336
19,605,606,132,203.645,199.322,124,67,80,165.602,163.6245,103,4,3,4.12,0.978715
20,606,607,136,197.309,199.805,118,64,79,167.8025,157.82,104,4,4,4.16,0.947397
21,607,608,133,199.665,204.892,120,72,80,168.873,159.845,105,4,5,4.2,0.954572
22,608,609,137,195.075,207.943,118,71,77,172.611,156.614,106,4,6,4.24,0.983718
23,609,610,143,192.366,210.803,117,67,76,177.0815,154.463,107,4,7,4.28,0.992791
